"DepartamentoCodigo","Departamento","Año","IRCA","Nivel de riesgo","IRCAurbano","Nivel de riesgo urbano","IRCArural","Nivel de riesgo rural"
"05","Antioquia","2,024","5.2","Bajo riesgo","2.4","Sin riesgo","15.3","Riesgo medio"
"05","Antioquia","2,007","7.8","Riesgo bajo","7.9","Riesgo bajo","5.5","Riesgo bajo"
"05","Antioquia","2,008","4.4","Sin riesgo","4.4","Sin riesgo","4.7","Sin riesgo"
"05","Antioquia","2,009","5.4","Riesgo bajo","5.5","Riesgo bajo","5.0","Sin riesgo"
"05","Antioquia","2,010","16.5","Riesgo medio","10.4","Riesgo bajo","31.0","Riesgo medio"
"05","Antioquia","2,011","20.9","Riesgo medio","13.3","Riesgo bajo","36.5","Riesgo alto"
"05","Antioquia","2,012","7.5","Riesgo bajo","7.5","Riesgo bajo","7.1","Riesgo bajo"
"05","Antioquia","2,013","9.2","Riesgo bajo","9.3","Riesgo bajo","9.4","Riesgo bajo"
"05","Antioquia","2,014","7.8","Riesgo bajo","8.3","Riesgo bajo","4.9","Sin riesgo"
"05","Antioquia","2,015","6.8","Riesgo bajo","7.3","Riesgo bajo","3.6","Sin riesgo"
"05","Antioquia","2,016","5.2","Riesgo bajo","5.5","Riesgo bajo","4.8","Sin riesgo"
"05","Antioquia","2,017","3.3","Sin riesgo","3.2","Sin riesgo","2.5","Sin riesgo"
"05","Antioquia","2,018","3.8","Sin riesgo","3.7","Sin riesgo","3.8","Sin riesgo"
"05","Antioquia","2,019","3.7","Sin riesgo","3.6","Sin riesgo","4.5","Sin riesgo"
"05","Antioquia","2,020","5.6","Riesgo bajo","2.6","Sin riesgo","11.9","Riesgo bajo"
"05","Antioquia","2,021","6.4","Riesgo bajo","3.1","Sin riesgo","14.0","Riesgo bajo"
"05","Antioquia","2,022","6.6","Riesgo bajo","3.2","Sin riesgo","16.6","Riesgo medio"
"05","Antioquia","2,023","5.4","Riesgo bajo","2.3","Sin riesgo","14.1","Riesgo medio"
"08","Atlántico","2,024","1.1","Sin riesgo","0.3","Sin riesgo","7.5","Bajo riesgo"
"08","Atlántico","2,007","6.7","Riesgo bajo","6.7","Riesgo bajo","ND","ND"
"08","Atlántico","2,008","5.1","Riesgo bajo","5.1","Riesgo bajo","ND","ND"
"08","Atlántico","2,009","5.2","Riesgo bajo","5.3","Riesgo bajo","3.8","Sin riesgo"
"08","Atlántico","2,010","4.7","Sin riesgo","4.7","Sin riesgo","0.0","Sin riesgo"
"08","Atlántico","2,011","2.9","Sin riesgo","2.9","Sin riesgo","0.0","Sin riesgo"
"08","Atlántico","2,012","3.2","Sin riesgo","3.2","Sin riesgo","0.0","Sin riesgo"
"08","Atlántico","2,013","9.9","Riesgo bajo","2.3","Sin riesgo","35.5","Riesgo alto"
"08","Atlántico","2,014","12.6","Riesgo bajo","3.6","Sin riesgo","30.2","Riesgo medio"
"08","Atlántico","2,015","16.8","Riesgo medio","5.7","Riesgo bajo","32.8","Riesgo medio"
"08","Atlántico","2,016","21.8","Riesgo medio","6.8","Riesgo bajo","22.3","Riesgo medio"
"08","Atlántico","2,017","13.8","Riesgo bajo","2.8","Sin riesgo","16.2","Riesgo medio"
"08","Atlántico","2,018","11.2","Riesgo bajo","2.0","Sin riesgo","27.3","Riesgo medio"
"08","Atlántico","2,019","6.7","Riesgo bajo","0.9","Sin riesgo","18.8","Riesgo medio"
"08","Atlántico","2,020","5.3","Riesgo bajo","0.4","Sin riesgo","16.2","Riesgo medio"
"08","Atlántico","2,021","5.1","Riesgo bajo","0.7","Sin riesgo","13.8","Riesgo bajo"
"08","Atlántico","2,022","3.5","Sin riesgo","0.8","Sin riesgo","13.1","Riesgo bajo"
"08","Atlántico","2,023","2.5","Sin riesgo","0.5","Sin riesgo","11.7","Riesgo bajo"
"11","Bogotá, D.C.","2,024","3.6","Sin riesgo","1.1","Sin riesgo","14.8","Riesgo medio"
"11","Bogotá, D.C.","2,007","0.1","Sin riesgo","0.1","Sin riesgo","1.0","Sin riesgo"
"11","Bogotá, D.C.","2,008","8.6","Riesgo bajo","2.5","Sin riesgo","42.9","Riesgo alto"
"11","Bogotá, D.C.","2,009","14.3","Riesgo medio","5.4","Riesgo bajo","43.7","Riesgo alto"
"11","Bogotá, D.C.","2,010","10.2","Riesgo bajo","3.6","Sin riesgo","39.6","Riesgo alto"
"11","Bogotá, D.C.","2,011","8.6","Riesgo bajo","3.3","Sin riesgo","35.4","Riesgo alto"
"11","Bogotá, D.C.","2,012","5.8","Riesgo bajo","2.1","Sin riesgo","26.2","Riesgo medio"
"11","Bogotá, D.C.","2,013","10.9","Riesgo bajo","2.4","Sin riesgo","41.3","Riesgo alto"
"11","Bogotá, D.C.","2,014","9.9","Riesgo bajo","2.7","Sin riesgo","36.0","Riesgo alto"
"11","Bogotá, D.C.","2,015","7.4","Riesgo bajo","1.9","Sin riesgo","26.1","Riesgo medio"
"11","Bogotá, D.C.","2,016","7.2","Riesgo bajo","1.9","Sin riesgo","30.1","Riesgo medio"
"11","Bogotá, D.C.","2,017","7.6","Riesgo bajo","2.0","Sin riesgo","29.3","Riesgo medio"
"11","Bogotá, D.C.","2,018","6.3","Riesgo bajo","1.9","Sin riesgo","22.5","Riesgo medio"
"11","Bogotá, D.C.","2,019","5.2","Riesgo bajo","1.0","Sin riesgo","13.3","Riesgo bajo"
"11","Bogotá, D.C.","2,020","3.7","Sin riesgo","0.7","Sin riesgo","18.0","Riesgo medio"
"11","Bogotá, D.C.","2,021","4.1","Sin riesgo","0.7","Sin riesgo","21.7","Riesgo medio"
"11","Bogotá, D.C.","2,022","3.1","Sin riesgo","0.5","Sin riesgo","17.5","Riesgo medio"
"11","Bogotá, D.C.","2,023","3.2","Sin riesgo","0.5","Sin riesgo","16.3","Riesgo medio"
"13","Bolívar","2,024","11.3","Bajo riesgo","12.4","Bajo riesgo","6.5","Bajo riesgo"
"13","Bolívar","2,007","28.4","Riesgo medio","28.7","Riesgo medio","12.5","Riesgo bajo"
"13","Bolívar","2,008","44.4","Riesgo alto","44.3","Riesgo alto","44.8","Riesgo alto"
"13","Bolívar","2,009","34.1","Riesgo medio","30.6","Riesgo medio","41.1","Riesgo alto"
"13","Bolívar","2,010","33.6","Riesgo medio","32.2","Riesgo medio","45.9","Riesgo alto"
"13","Bolívar","2,011","31.8","Riesgo medio","30.7","Riesgo medio","43.2","Riesgo alto"
"13","Bolívar","2,012","28","Riesgo medio","26.8","Riesgo medio","40.3","Riesgo alto"
"13","Bolívar","2,013","37.3","Riesgo alto","35.4","Riesgo alto","53.1","Riesgo alto"
"13","Bolívar","2,014","40","Riesgo alto","38.7","Riesgo alto","51.7","Riesgo alto"
"13","Bolívar","2,015","22.1","Riesgo medio","25.8","Riesgo medio","36.0","Riesgo alto"
"13","Bolívar","2,016","22.2","Riesgo medio","26.2","Riesgo medio","47.4","Riesgo alto"
"13","Bolívar","2,017","33.2","Riesgo medio","33.7","Riesgo medio","65.3","Riesgo alto"
"13","Bolívar","2,018","24.5","Riesgo medio","24.5","Riesgo medio","23.4","Riesgo medio"
"13","Bolívar","2,019","24","Riesgo medio","23.5","Riesgo medio","41.4","Riesgo alto"
"13","Bolívar","2,020","37.4","Riesgo alto","38.2","Riesgo alto","26.1","Riesgo medio"
"13","Bolívar","2,021","23.6","Riesgo medio","24.0","Riesgo medio","20.2","Riesgo medio"
"13","Bolívar","2,022","10.4","Riesgo bajo","10.6","Riesgo bajo","8.7","Riesgo bajo"
"13","Bolívar","2,023","10.3","Riesgo bajo","11.2","Riesgo bajo","5.4","Riesgo bajo"
"15","Boyacá","2,024","7.5","Bajo riesgo","4.8","Sin riesgo","22","Riesgo medio"
"15","Boyacá","2,007","21.5","Riesgo medio","21.7","Riesgo medio","15.9","Riesgo medio"
"15","Boyacá","2,008","30.1","Riesgo medio","20.6","Riesgo medio","53.8","Riesgo alto"
"15","Boyacá","2,009","30","Riesgo medio","18.0","Riesgo medio","52.3","Riesgo alto"
"15","Boyacá","2,010","27.2","Riesgo medio","13.0","Riesgo bajo","51.1","Riesgo alto"
"15","Boyacá","2,011","32.4","Riesgo medio","18.5","Riesgo medio","52.8","Riesgo alto"
"15","Boyacá","2,012","30.3","Riesgo medio","10.2","Riesgo bajo","53.2","Riesgo alto"
"15","Boyacá","2,013","32.8","Riesgo medio","6.7","Riesgo bajo","54.6","Riesgo alto"
"15","Boyacá","2,014","28.6","Riesgo medio","5.2","Riesgo bajo","50.8","Riesgo alto"
"15","Boyacá","2,015","28","Riesgo medio","4.3","Sin riesgo","46.5","Riesgo alto"
"15","Boyacá","2,016","27","Riesgo medio","5.1","Riesgo bajo","45.1","Riesgo alto"
"15","Boyacá","2,017","26.3","Riesgo medio","5.2","Riesgo bajo","41.8","Riesgo alto"
"15","Boyacá","2,018","24.7","Riesgo medio","4.5","Sin riesgo","42.5","Riesgo alto"
"15","Boyacá","2,019","23.9","Riesgo medio","4.6","Sin riesgo","39.9","Riesgo alto"
"15","Boyacá","2,020","8.6","Riesgo bajo","3.0","Sin riesgo","26.0","Riesgo medio"
"15","Boyacá","2,021","8.2","Riesgo bajo","4.4","Sin riesgo","25.2","Riesgo medio"
"15","Boyacá","2,022","8.8","Riesgo bajo","5.5","Riesgo bajo","23.6","Riesgo medio"
"15","Boyacá","2,023","7.7","Riesgo bajo","4.7","Sin riesgo","21.6","Riesgo medio"
"17","Caldas","2,024","12.1","Bajo riesgo","0.8","Sin riesgo","49.8","Alto riesgo"
"17","Caldas","2,007","11.3","Riesgo bajo","9.2","Riesgo bajo","59.1","Riesgo alto"
"17","Caldas","2,008","47.9","Riesgo alto","43.3","Riesgo alto","75.0","Riesgo alto"
"17","Caldas","2,009","58.7","Riesgo alto","37.6","Riesgo alto","68.5","Riesgo alto"
"17","Caldas","2,010","58.4","Riesgo alto","27.0","Riesgo medio","75.7","Riesgo alto"
"17","Caldas","2,011","56.6","Riesgo alto","23.2","Riesgo medio","76.0","Riesgo alto"
"17","Caldas","2,012","55.8","Riesgo alto","14.8","Riesgo medio","72.1","Riesgo alto"
"17","Caldas","2,013","57.6","Riesgo alto","6.6","Riesgo bajo","73.3","Riesgo alto"
"17","Caldas","2,014","56.1","Riesgo alto","8.8","Riesgo bajo","69.1","Riesgo alto"
"17","Caldas","2,015","54.3","Riesgo alto","7.5","Riesgo bajo","68.0","Riesgo alto"
"17","Caldas","2,016","51.6","Riesgo alto","0.0","Sin riesgo","73.4","Riesgo alto"
"17","Caldas","2,017","50.1","Riesgo alto","0.0","Sin riesgo","83.5","Inviable sanitariamente"
"17","Caldas","2,018","44.1","Riesgo alto","2.7","Sin riesgo","69.4","Riesgo alto"
"17","Caldas","2,019","26.4","Riesgo medio","0.3","Sin riesgo","64.6","Riesgo alto"
"17","Caldas","2,020","23.6","Riesgo medio","1.1","Sin riesgo","62.6","Riesgo alto"
"17","Caldas","2,021","23.2","Riesgo medio","0.9","Sin riesgo","61.6","Riesgo alto"
"17","Caldas","2,022","19.8","Riesgo medio","1.3","Sin riesgo","56.5","Riesgo alto"
"17","Caldas","2,023","14.7","Riesgo medio","0.8","Sin riesgo","50.6","Riesgo alto"
"18","Caquetá","2,024","6.6","Bajo riesgo","6.6","Bajo riesgo","ND","ND"
"18","Caquetá","2,007","28.7","Riesgo medio","30.6","Riesgo medio","57.5","Riesgo alto"
"18","Caquetá","2,008","27.1","Riesgo medio","27.8","Riesgo medio","36.5","Riesgo alto"
"18","Caquetá","2,009","23.1","Riesgo medio","25.5","Riesgo medio","21.4","Riesgo medio"
"18","Caquetá","2,010","21.2","Riesgo medio","24.6","Riesgo medio","17.3","Riesgo medio"
"18","Caquetá","2,011","15.8","Riesgo medio","17.9","Riesgo medio","12.7","Riesgo bajo"
"18","Caquetá","2,012","15.8","Riesgo medio","17.0","Riesgo medio","28.0","Riesgo medio"
"18","Caquetá","2,013","18.2","Riesgo medio","17.0","Riesgo medio","43.8","Riesgo alto"
"18","Caquetá","2,014","17","Riesgo medio","17.2","Riesgo medio","36.7","Riesgo alto"
"18","Caquetá","2,015","15","Riesgo medio","19.0","Riesgo medio","16.2","Riesgo medio"
"18","Caquetá","2,016","15","Riesgo medio","16.0","Riesgo medio","2.3","Sin riesgo"
"18","Caquetá","2,017","18.8","Riesgo medio","19.6","Riesgo medio","13.6","Riesgo bajo"
"18","Caquetá","2,018","10.2","Riesgo bajo","10.2","Riesgo bajo","0.0","Sin riesgo"
"18","Caquetá","2,019","12.4","Riesgo bajo","12.4","Riesgo bajo","12.7","Riesgo bajo"
"18","Caquetá","2,020","11.8","Riesgo bajo","12.1","Riesgo bajo","9.0","Riesgo bajo"
"18","Caquetá","2,021","8","Riesgo bajo","7.4","Riesgo bajo","15.8","Riesgo medio"
"18","Caquetá","2,022","11.9","Riesgo bajo","11.3","Riesgo bajo","16.1","Riesgo medio"
"19","Cauca","2,024","3.3","Sin riesgo","2.1","Sin riesgo","6.6","Bajo riesgo"
"19","Cauca","2,007","30.7","Riesgo medio","31.0","Riesgo medio","24.3","Riesgo medio"
"19","Cauca","2,008","28.5","Riesgo medio","28.1","Riesgo medio","32.7","Riesgo medio"
"19","Cauca","2,009","27.1","Riesgo medio","27.7","Riesgo medio","28.6","Riesgo medio"
"19","Cauca","2,010","23.1","Riesgo medio","22.4","Riesgo medio","44.3","Riesgo alto"
"19","Cauca","2,011","25","Riesgo medio","25.7","Riesgo medio","29.1","Riesgo medio"
"19","Cauca","2,012","17.9","Riesgo medio","17.0","Riesgo medio","32.9","Riesgo medio"
"19","Cauca","2,013","16.5","Riesgo medio","16.9","Riesgo medio","17.6","Riesgo medio"
"19","Cauca","2,014","18.4","Riesgo medio","16.8","Riesgo medio","41.6","Riesgo alto"
"19","Cauca","2,015","14.7","Riesgo medio","14.2","Riesgo medio","40.6","Riesgo alto"
"19","Cauca","2,016","11.5","Riesgo bajo","12.6","Riesgo bajo","12.3","Riesgo bajo"
"19","Cauca","2,017","11.9","Riesgo bajo","13.0","Riesgo bajo","13.3","Riesgo bajo"
"19","Cauca","2,018","11","Riesgo bajo","11.0","Riesgo bajo","11.3","Riesgo bajo"
"19","Cauca","2,019","8.8","Riesgo bajo","9.6","Riesgo bajo","6.6","Riesgo bajo"
"19","Cauca","2,020","7.6","Riesgo bajo","7.3","Riesgo bajo","9.6","Riesgo bajo"
"19","Cauca","2,021","9.9","Riesgo bajo","9.9","Riesgo bajo","10.1","Riesgo bajo"
"19","Cauca","2,022","7.2","Riesgo bajo","7.2","Riesgo bajo","7.5","Riesgo bajo"
"19","Cauca","2,023","3.9","Sin riesgo","4.0","Sin riesgo","3.6","Sin riesgo"
"20","Cesar","2,024","17.6","Riesgo medio","17.4","Riesgo medio","24.5","Riesgo medio"
"20","Cesar","2,007","31.9","Riesgo medio","31.9","Riesgo medio","ND","ND"
"20","Cesar","2,008","32","Riesgo medio","32.1","Riesgo medio","19.4","Riesgo medio"
"20","Cesar","2,009","22.4","Riesgo medio","22.4","Riesgo medio","45.6","Riesgo alto"
"20","Cesar","2,010","18.7","Riesgo medio","18.2","Riesgo medio","41.7","Riesgo alto"
"20","Cesar","2,011","17","Riesgo medio","15.5","Riesgo medio","47.8","Riesgo alto"
"20","Cesar","2,012","20.9","Riesgo medio","17.5","Riesgo medio","47.6","Riesgo alto"
"20","Cesar","2,013","11.5","Riesgo bajo","9.4","Riesgo bajo","22.2","Riesgo medio"
"20","Cesar","2,014","14","Riesgo bajo","11.3","Riesgo bajo","46.9","Riesgo alto"
"20","Cesar","2,015","13.1","Riesgo bajo","10.9","Riesgo bajo","43.2","Riesgo alto"
"20","Cesar","2,016","17","Riesgo medio","13.5","Riesgo bajo","27.3","Riesgo medio"
"20","Cesar","2,017","13.1","Riesgo bajo","11.9","Riesgo bajo","11.0","Riesgo bajo"
"20","Cesar","2,018","12.3","Riesgo bajo","12.1","Riesgo bajo","20.4","Riesgo medio"
"20","Cesar","2,019","11.9","Riesgo bajo","11.5","Riesgo bajo","29.7","Riesgo medio"
"20","Cesar","2,020","13.8","Riesgo bajo","13.6","Riesgo bajo","24.3","Riesgo medio"
"20","Cesar","2,021","13.5","Riesgo bajo","13.4","Riesgo bajo","17.0","Riesgo medio"
"20","Cesar","2,022","13.3","Riesgo bajo","12.2","Riesgo bajo","42.6","Riesgo alto"
"20","Cesar","2,023","14.6","Riesgo medio","14.5","Riesgo medio","25.5","Riesgo medio"
"23","Córdoba","2,024","15.8","Riesgo medio","15.7","Riesgo medio","21.7","Riesgo medio"
"23","Córdoba","2,007","41.1","Riesgo alto","41.4","Riesgo alto","24.7","Riesgo medio"
"23","Córdoba","2,008","14.7","Riesgo medio","14.6","Riesgo medio","16.0","Riesgo medio"
"23","Córdoba","2,009","15.3","Riesgo medio","15.6","Riesgo medio","9.4","Riesgo bajo"
"23","Córdoba","2,010","15.4","Riesgo medio","14.6","Riesgo medio","26.4","Riesgo medio"
"23","Córdoba","2,011","15.7","Riesgo medio","14.3","Riesgo medio","27.7","Riesgo medio"
"23","Córdoba","2,012","9.1","Riesgo bajo","9.5","Riesgo bajo","1.9","Sin riesgo"
"23","Córdoba","2,013","9.9","Riesgo bajo","9.5","Riesgo bajo","15.6","Riesgo medio"
"23","Córdoba","2,014","11.1","Riesgo bajo","11.0","Riesgo bajo","13.8","Riesgo bajo"
"23","Córdoba","2,015","9.9","Riesgo bajo","9.9","Riesgo bajo","10.7","Riesgo bajo"
"23","Córdoba","2,016","0","Sin riesgo","0.0","Sin riesgo","0.0","Sin riesgo"
"23","Córdoba","2,017","3.2","Sin riesgo","3.7","Sin riesgo","2.3","Sin riesgo"
"23","Córdoba","2,018","7.5","Riesgo bajo","11.3","Riesgo bajo","46.1","Riesgo alto"
"23","Córdoba","2,019","7.2","Riesgo bajo","9.2","Riesgo bajo","36.1","Riesgo alto"
"23","Córdoba","2,021","8","Riesgo bajo","7.5","Riesgo bajo","18.7","Riesgo medio"
"23","Córdoba","2,023","15.1","Riesgo medio","15.4","Riesgo medio","7.5","Riesgo bajo"
"25","Cundinamarca","2,024","5","Sin riesgo","4.3","Sin riesgo","7","Bajo riesgo"
"25","Cundinamarca","2,007","11.1","Riesgo bajo","10.2","Riesgo bajo","17.7","Riesgo medio"
"25","Cundinamarca","2,008","7.7","Riesgo bajo","7.5","Riesgo bajo","9.0","Riesgo bajo"
"25","Cundinamarca","2,009","8","Riesgo bajo","8.3","Riesgo bajo","10.1","Riesgo bajo"
"25","Cundinamarca","2,010","5.8","Riesgo bajo","5.7","Riesgo bajo","6.7","Riesgo bajo"
"25","Cundinamarca","2,011","7.1","Riesgo bajo","6.5","Riesgo bajo","8.0","Riesgo bajo"
"25","Cundinamarca","2,012","6.9","Riesgo bajo","5.6","Riesgo bajo","10.0","Riesgo bajo"
"25","Cundinamarca","2,013","7.7","Riesgo bajo","6.5","Riesgo bajo","10.3","Riesgo bajo"
"25","Cundinamarca","2,014","7.2","Riesgo bajo","6.0","Riesgo bajo","9.2","Riesgo bajo"
"25","Cundinamarca","2,015","7.1","Riesgo bajo","5.5","Riesgo bajo","10.7","Riesgo bajo"
"25","Cundinamarca","2,016","7.9","Riesgo bajo","6.3","Riesgo bajo","10.3","Riesgo bajo"
"25","Cundinamarca","2,017","8.7","Riesgo bajo","6.9","Riesgo bajo","11.0","Riesgo bajo"
"25","Cundinamarca","2,018","8","Riesgo bajo","6.1","Riesgo bajo","13.0","Riesgo bajo"
